0,297
1,298
2,299
3,-1
4,-1
5,300
6,301
7,302
8,-1
9,-1
10,303
11,304
12,305
13,-1
14,-1
15,306
16,307
17,308
18,-1
19,-1
20,309
21,310
22,311
23,-1
24,-1
25,312
26,313
27,314
28,-1
29,-1
30,315
31,316
32,630
33,631
34,632
35,-1
36,-1
37,633
38,634
39,635
40,-1
41,-1
42,636
43,637
44,638
45,-1
46,-1
47,639
48,640
49,641
50,-1
51,-1
52,642
53,643
54,644
55,-1
56,-1
57,645
58,646
59,647
60,-1
61,-1
62,648
63,649
64,1014
65,1015
66,1016
67,-1
68,-1
69,1017
70,1018
71,1019
72,-1
73,-1
74,1020
75,1021
76,1022
77,-1
78,-1
79,1023
80,1024
81,1025
82,-1
83,-1
84,1026
85,1027
86,1028
87,-1
88,-1
89,1029
90,1030
91,1031
92,-1
93,-1
94,1032
95,1033
96,1344
97,1345
98,1346
99,-1
100,-1
101,1347
102,1348
103,1349
104,-1
105,-1
106,1350
107,1351
108,1352
109,-1
110,-1
111,1353
112,1354
113,1355
114,-1
115,-1
116,1356
117,1357
118,1358
119,-1
120,-1
121,1359
122,1360
123,1361
124,-1
125,-1
126,1362
127,1363
128,1734
129,1735
130,1736
131,-1
132,-1
133,1737
134,1738
135,1739
136,-1
137,-1
138,1740
139,1741
140,1742
141,-1
142,-1
143,1743
144,1744
145,1745
146,-1
147,-1
148,1746
149,1747
150,1748
151,-1
152,-1
153,1749
154,1750
155,1751
156,-1
157,-1
158,1752
159,1753
160,2055
161,2056
162,2057
163,-1
164,-1
165,2058
166,2059
167,2060
168,-1
169,-1
170,2061
171,2062
172,2063
173,-1
174,-1
175,2064
176,2065
177,2066
178,-1
179,-1
180,2067
181,2068
182,2069
183,-1
184,-1
185,2070
186,2071
187,2072
188,-1
189,-1
190,2073
191,2074
192,2454
193,2455
194,2456
195,-1
196,-1
197,2457
198,2458
199,2459
200,-1
201,-1
202,2460
203,2461
204,2462
205,-1
206,-1
207,2463
208,2464
209,2465
210,-1
211,-1
212,2466
213,2467
214,2468
215,-1
216,-1
217,2469
218,2470
219,2471
220,-1
221,-1
222,2472
223,2473
224,2775
225,2776
226,2777
227,-1
228,-1
229,2778
230,2779
231,2780
232,-1
233,-1
234,2781
235,2782
236,2783
